text,urgency,authority,fear,impersonation,cleaned_text
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
Your IRS tax return is overdue. Legal action will be taken.,1,1,1,0,Your IRS tax return is overdue. Legal action will be taken.
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
Suspicious activity on your credit card. Verify recent transactions immediately.,1,0,1,0,Suspicious activity on your credit card. Verify recent transactions immediately.
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
Urgent message from your bank: Claim your reward now.,1,0,0,1,Urgent message from your bank: Claim your reward now.
Urgent: Your account will be locked in 1 hour if you don't verify.,1,0,1,0,Urgent: Your account will be locked in 1 hour if you don't verify.
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
Please find the attached agenda for tomorrow's meeting.,0,0,0,0,Please find the attached agenda for tomorrow's meeting.
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
"Hi mom, I lost my phone. Can you send me some money for a new one?",1,0,0,1,"Hi mom, I lost my phone. Can you send me some money for a new one?"
Internal Memo: HR requires your SSN for the new benefits portal.,0,1,0,1,Internal Memo: HR requires your SSN for the new benefits portal.
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
Final warning: Security breach detected. Reset your password now.,1,0,1,0,Final warning: Security breach detected. Reset your password now.
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
Urgent message from your bank: Claim your reward now.,1,0,0,1,Urgent message from your bank: Claim your reward now.
Internal Memo: HR requires your SSN for the new benefits portal.,0,1,0,1,Internal Memo: HR requires your SSN for the new benefits portal.
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
Happy Birthday! Have a great day ahead.,0,0,0,0,Happy Birthday! Have a great day ahead.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
Your IRS tax return is overdue. Legal action will be taken.,1,1,1,0,Your IRS tax return is overdue. Legal action will be taken.
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?",0,1,0,1,"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
Final warning: Security breach detected. Reset your password now.,1,0,1,0,Final warning: Security breach detected. Reset your password now.
Suspicious activity on your credit card. Verify recent transactions immediately.,1,0,1,0,Suspicious activity on your credit card. Verify recent transactions immediately.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
From the Office of the Director: Required security training documentation attached.,0,1,0,1,From the Office of the Director: Required security training documentation attached.
Urgent message from your bank: Claim your reward now.,1,0,0,1,Urgent message from your bank: Claim your reward now.
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
Your order has been shipped. Track it here.,0,0,0,0,Your order has been shipped. Track it here.
Final warning: Security breach detected. Reset your password now.,1,0,1,0,Final warning: Security breach detected. Reset your password now.
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
"Hi mom, I lost my phone. Can you send me some money for a new one?",1,0,0,1,"Hi mom, I lost my phone. Can you send me some money for a new one?"
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
Suspicious activity on your credit card. Verify recent transactions immediately.,1,0,1,0,Suspicious activity on your credit card. Verify recent transactions immediately.
The project documentation has been updated on the wiki.,0,0,0,0,The project documentation has been updated on the wiki.
From the Office of the Director: Required security training documentation attached.,0,1,0,1,From the Office of the Director: Required security training documentation attached.
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
"Hi mom, I lost my phone. Can you send me some money for a new one?",1,0,0,1,"Hi mom, I lost my phone. Can you send me some money for a new one?"
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
Your IRS tax return is overdue. Legal action will be taken.,1,1,1,0,Your IRS tax return is overdue. Legal action will be taken.
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?",0,1,0,1,"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
From the Office of the Director: Required security training documentation attached.,0,1,0,1,From the Office of the Director: Required security training documentation attached.
This is your Netflix account manager. Update payment to keep streaming.,1,0,0,1,This is your Netflix account manager. Update payment to keep streaming.
This is IT support. We need your password to fix your mailbox.,0,1,0,1,This is IT support. We need your password to fix your mailbox.
Urgent: Your account will be locked in 1 hour if you don't verify.,1,0,1,0,Urgent: Your account will be locked in 1 hour if you don't verify.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
Final warning: Security breach detected. Reset your password now.,1,0,1,0,Final warning: Security breach detected. Reset your password now.
The project documentation has been updated on the wiki.,0,0,0,0,The project documentation has been updated on the wiki.
"Hi mom, I lost my phone. Can you send me some money for a new one?",1,0,0,1,"Hi mom, I lost my phone. Can you send me some money for a new one?"
Suspicious activity on your credit card. Verify recent transactions immediately.,1,0,1,0,Suspicious activity on your credit card. Verify recent transactions immediately.
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1,"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?",1,0,0,1,"Hey buddy, I'm stuck at the airport. Can you Zelle me $50 for a cab?"
This is IT support. We need your password to fix your mailbox.,0,1,0,1,This is IT support. We need your password to fix your mailbox.
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1,"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?",0,1,0,1,"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
Department of Justice: You are subpoenaed. View the case file here.,1,1,1,0,Department of Justice: You are subpoenaed. View the case file here.
From the Office of the Director: Required security training documentation attached.,0,1,0,1,From the Office of the Director: Required security training documentation attached.
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
"Hey, are we still on for the movie tonight?",0,0,0,0,"Hey, are we still on for the movie tonight?"
Can you review this pull request when you have a moment?,0,0,0,0,Can you review this pull request when you have a moment?
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
Don't forget the milk on your way home.,0,0,0,0,Don't forget the milk on your way home.
Action Required: Unusual login attempt from Russia. Secure your account.,1,0,1,0,Action Required: Unusual login attempt from Russia. Secure your account.
Suspicious activity on your credit card. Verify recent transactions immediately.,1,0,1,0,Suspicious activity on your credit card. Verify recent transactions immediately.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
Police Dept: Unpaid traffic violation found. Pay or face arrest.,1,1,1,0,Police Dept: Unpaid traffic violation found. Pay or face arrest.
This is IT support. We need your password to fix your mailbox.,0,1,0,1,This is IT support. We need your password to fix your mailbox.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
From the Office of the Director: Required security training documentation attached.,0,1,0,1,From the Office of the Director: Required security training documentation attached.
This is your Netflix account manager. Update payment to keep streaming.,1,0,0,1,This is your Netflix account manager. Update payment to keep streaming.
"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?",0,1,0,1,"Hi, this is Mark from Finance. Can you send me the Q4 revenue report?"
IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.,1,0,1,0,IMMEDIATE: Your subscription is cancelled. Pay now to avoid data loss.
You have a new voicemail. Listen here.,0,0,0,0,You have a new voicemail. Listen here.
Your order has been shipped. Track it here.,0,0,0,0,Your order has been shipped. Track it here.
The project documentation has been updated on the wiki.,0,0,0,0,The project documentation has been updated on the wiki.
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1,"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
This is your Netflix account manager. Update payment to keep streaming.,1,0,0,1,This is your Netflix account manager. Update payment to keep streaming.
Your order has been shipped. Track it here.,0,0,0,0,Your order has been shipped. Track it here.
Meeting reminder: Weekly Sync at 10 AM.,0,0,0,0,Meeting reminder: Weekly Sync at 10 AM.
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0,"Hello, would you like to grab coffee next Tuesday?"
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1,"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project."
