text,urgency,authority,fear,impersonation
"Urgent: Your account will be locked in 1 hour if you don't verify.",1,0,1,0
"Dear Employee, This is the CEO. Please wire $5000 to this account for a secret project.",1,1,0,1
"Hi mom, I lost my phone. Can you send me some money for a new one?",0,0,0,1
"Your IRS tax return is overdue. Legal action will be taken.",1,1,1,0
"Hello, would you like to grab coffee next Tuesday?",0,0,0,0
"Final warning: Security breach detected. Reset your password now.",1,0,1,0
"This is IT support. We need your password to fix your mailbox.",0,1,0,1
"Congratulations! You won a $1000 gift card. Click here to claim.",1,0,0,0
"Hi, I'm from the HR department. Please fill out this form for your payroll.",0,1,0,0
"You have a new voicemail. Listen here.",0,0,0,0
"Emergency: Your child was in an accident. Send insurance details.",1,0,1,1
